id_solicitante,inadimplente
20001,0
20002,1
20003,1
20004,0
20005,1
20006,1
20007,0
20008,0
20009,1
20010,1
20011,1
20012,0
20013,1
20014,1
20015,1
20016,1
20017,1
20018,0
20019,1
20020,0
20021,0
20022,0
20023,1
20024,1
20025,1
20026,0
20027,1
20028,1
20029,1
20030,1
20031,0
20032,1
20033,0
20034,1
20035,0
20036,0
20037,0
20038,0
20039,1
20040,1
20041,1
20042,1
20043,0
20044,0
20045,1
20046,1
20047,0
20048,0
20049,1
20050,0
20051,1
20052,1
20053,1
20054,1
20055,1
20056,0
20057,0
20058,1
20059,1
20060,1
20061,0
20062,1
20063,0
20064,1
20065,0
20066,0
20067,1
20068,0
20069,1
20070,1
20071,0
20072,0
20073,1
20074,0
20075,1
20076,1
20077,1
20078,0
20079,1
20080,0
20081,1
20082,0
20083,0
20084,0
20085,1
20086,0
20087,0
20088,1
20089,0
20090,0
20091,1
20092,1
20093,1
20094,0
20095,1
20096,0
20097,0
20098,0
20099,0
20100,0
20101,0
20102,1
20103,1
20104,0
20105,1
20106,0
20107,1
20108,0
20109,1
20110,0
20111,0
20112,1
20113,1
20114,0
20115,1
20116,1
20117,1
20118,0
20119,1
20120,0
20121,1
20122,0
20123,0
20124,0
20125,1
20126,0
20127,1
20128,0
20129,1
20130,1
20131,1
20132,1
20133,0
20134,0
20135,1
20136,0
20137,0
20138,1
20139,0
20140,1
20141,1
20142,1
20143,1
20144,0
20145,1
20146,1
20147,0
20148,1
20149,1
20150,0
20151,1
20152,1
20153,1
20154,1
20155,1
20156,1
20157,1
20158,0
20159,1
20160,1
20161,0
20162,0
20163,1
20164,1
20165,0
20166,0
20167,0
20168,0
20169,0
20170,1
20171,0
20172,1
20173,0
20174,0
20175,0
20176,1
20177,0
20178,1
20179,1
20180,1
20181,0
20182,1
20183,0
20184,1
20185,1
20186,1
20187,1
20188,0
20189,0
20190,1
20191,0
20192,0
20193,0
20194,1
20195,1
20196,1
20197,1
20198,0
20199,0
20200,1
20201,1
20202,0
20203,1
20204,0
20205,1
20206,0
20207,1
20208,0
20209,0
20210,1
20211,1
20212,1
20213,1
20214,1
20215,0
20216,0
20217,0
20218,1
20219,1
20220,0
20221,0
20222,1
20223,0
20224,1
20225,1
20226,1
20227,1
20228,0
20229,1
20230,0
20231,1
20232,1
20233,0
20234,0
20235,0
20236,1
20237,1
20238,1
20239,1
20240,1
20241,0
20242,0
20243,0
20244,1
20245,0
20246,1
20247,0
20248,1
20249,1
20250,0
20251,1
20252,1
20253,0
20254,0
20255,1
20256,1
20257,1
20258,1
20259,1
20260,0
20261,1
20262,1
20263,1
20264,0
20265,0
20266,1
20267,1
20268,1
20269,0
20270,0
20271,1
20272,1
20273,1
20274,1
20275,1
20276,1
20277,0
20278,0
20279,1
20280,1
20281,1
20282,0
20283,0
20284,1
20285,1
20286,1
20287,1
20288,1
20289,1
20290,1
20291,1
20292,1
20293,1
20294,0
20295,1
20296,1
20297,0
20298,1
20299,1
20300,1
20301,1
20302,1
20303,1
20304,1
20305,1
20306,0
20307,1
20308,1
20309,1
20310,1
20311,1
20312,0
20313,1
20314,0
20315,0
20316,1
20317,1
20318,1
20319,0
20320,0
20321,1
20322,0
20323,1
20324,1
20325,1
20326,0
20327,1
20328,1
20329,1
20330,1
20331,0
20332,1
20333,1
20334,1
20335,1
20336,1
20337,1
20338,1
20339,1
20340,1
20341,0
20342,0
20343,1
20344,0
20345,1
20346,0
20347,1
20348,1
20349,1
20350,0
20351,0
20352,0
20353,1
20354,0
20355,1
20356,0
20357,1
20358,0
20359,1
20360,1
20361,0
20362,0
20363,0
20364,0
20365,1
20366,0
20367,1
20368,1
20369,1
20370,1
20371,0
20372,1
20373,0
20374,0
20375,1
20376,0
20377,1
20378,0
20379,0
20380,0
20381,1
20382,1
20383,0
20384,0
20385,1
20386,1
20387,1
20388,1
20389,0
20390,0
20391,0
20392,1
20393,0
20394,1
20395,0
20396,1
20397,1
20398,1
20399,0
20400,1
20401,0
20402,0
20403,0
20404,1
20405,0
20406,1
20407,0
20408,1
20409,1
20410,0
20411,1
20412,1
20413,0
20414,1
20415,1
20416,0
20417,1
20418,1
20419,0
20420,0
20421,1
20422,1
20423,0
20424,1
20425,1
20426,1
20427,1
20428,1
20429,0
20430,1
20431,0
20432,0
20433,1
20434,1
20435,0
20436,1
20437,1
20438,1
20439,1
20440,1
20441,1
20442,0
20443,0
20444,1
20445,1
20446,0
20447,0
20448,1
20449,1
20450,1
20451,0
20452,0
20453,1
20454,0
20455,1
20456,1
20457,0
20458,1
20459,0
20460,0
20461,1
20462,0
20463,1
20464,1
20465,1
20466,1
20467,0
20468,0
20469,1
20470,1
20471,0
20472,1
20473,1
20474,1
20475,1
20476,1
20477,0
20478,0
20479,1
20480,1
20481,0
20482,1
20483,0
20484,0
20485,1
20486,1
20487,1
20488,1
20489,1
20490,0
20491,1
20492,0
20493,0
20494,0
20495,0
20496,1
20497,1
20498,1
20499,1
20500,0
20501,1
20502,0
20503,0
20504,1
20505,1
20506,0
20507,1
20508,0
20509,0
20510,1
20511,1
20512,0
20513,0
20514,1
20515,0
20516,1
20517,0
20518,0
20519,1
20520,0
20521,1
20522,1
20523,1
20524,0
20525,1
20526,1
20527,0
20528,0
20529,1
20530,1
20531,1
20532,1
20533,1
20534,0
20535,1
20536,1
20537,0
20538,0
20539,0
20540,1
20541,0
20542,0
20543,1
20544,0
20545,0
20546,0
20547,0
20548,1
20549,1
20550,0
20551,1
20552,0
20553,0
20554,1
20555,1
20556,0
20557,1
20558,1
20559,1
20560,1
20561,1
20562,0
20563,0
20564,1
20565,1
20566,0
20567,1
20568,0
20569,0
20570,1
20571,1
20572,1
20573,0
20574,0
20575,0
20576,1
20577,0
20578,1
20579,0
20580,0
20581,1
20582,1
20583,1
20584,0
20585,1
20586,1
20587,0
20588,0
20589,1
20590,1
20591,1
20592,1
20593,0
20594,1
20595,1
20596,0
20597,0
20598,0
20599,1
20600,1
20601,1
20602,0
20603,1
20604,1
20605,1
20606,1
20607,0
20608,0
20609,1
20610,0
20611,0
20612,1
20613,0
20614,1
20615,1
20616,1
20617,1
20618,1
20619,0
20620,0
20621,0
20622,0
20623,1
20624,0
20625,1
20626,1
20627,1
20628,1
20629,1
20630,1
20631,1
20632,0
20633,1
20634,1
20635,0
20636,1
20637,1
20638,0
20639,1
20640,1
20641,0
20642,1
20643,0
20644,0
20645,0
20646,1
20647,0
20648,0
20649,1
20650,0
20651,0
20652,1
20653,0
20654,0
20655,1
20656,0
20657,1
20658,1
20659,1
20660,1
20661,1
20662,0
20663,0
20664,1
20665,0
20666,1
20667,0
20668,0
20669,1
20670,1
20671,1
20672,1
20673,1
20674,1
20675,1
20676,0
20677,1
20678,1
20679,1
20680,1
20681,0
20682,1
20683,1
20684,1
20685,1
20686,1
20687,1
20688,1
20689,0
20690,0
20691,1
20692,0
20693,0
20694,0
20695,1
20696,1
20697,1
20698,0
20699,0
20700,1
20701,1
20702,0
20703,0
20704,0
20705,1
20706,0
20707,1
20708,0
20709,1
20710,0
20711,1
20712,1
20713,0
20714,0
20715,1
20716,1
20717,1
20718,0
20719,1
20720,1
20721,1
20722,0
20723,1
20724,0
20725,0
20726,1
20727,1
20728,0
20729,1
20730,0
20731,0
20732,0
20733,1
20734,0
20735,0
20736,1
20737,1
20738,0
20739,1
20740,1
20741,1
20742,1
20743,0
20744,0
20745,0
20746,1
20747,1
20748,1
20749,1
20750,0
20751,1
20752,0
20753,1
20754,1
20755,1
20756,1
20757,0
20758,0
20759,1
20760,1
20761,0
20762,1
20763,1
20764,0
20765,1
20766,1
20767,1
20768,0
20769,1
20770,0
20771,0
20772,1
20773,1
20774,0
20775,1
20776,0
20777,0
20778,1
20779,1
20780,0
20781,1
20782,0
20783,1
20784,1
20785,0
20786,1
20787,0
20788,0
20789,0
20790,1
20791,1
20792,1
20793,1
20794,1
20795,0
20796,1
20797,0
20798,1
20799,1
20800,1
20801,1
20802,1
20803,1
20804,1
20805,1
20806,0
20807,0
20808,0
20809,1
20810,0
20811,1
20812,0
20813,1
20814,1
20815,1
20816,0
20817,1
20818,0
20819,0
20820,0
20821,1
20822,0
20823,1
20824,0
20825,0
20826,0
20827,0
20828,1
20829,0
20830,1
20831,1
20832,0
20833,0
20834,0
20835,1
20836,1
20837,0
20838,0
20839,1
20840,0
20841,0
20842,1
20843,0
20844,1
20845,0
20846,0
20847,1
20848,1
20849,1
20850,0
20851,1
20852,0
20853,0
20854,1
20855,1
20856,1
20857,0
20858,0
20859,0
20860,1
20861,0
20862,0
20863,0
20864,0
20865,1
20866,1
20867,0
20868,1
20869,0
20870,1
20871,1
20872,0
20873,0
20874,0
20875,0
20876,1
20877,1
20878,0
20879,1
20880,0
20881,0
20882,0
20883,1
20884,0
20885,1
20886,0
20887,0
20888,1
20889,1
20890,0
20891,0
20892,0
20893,1
20894,1
20895,1
20896,0
20897,1
20898,1
20899,1
20900,0
20901,0
20902,0
20903,1
20904,1
20905,0
20906,0
20907,1
20908,1
20909,1
20910,1
20911,0
20912,1
20913,0
20914,0
20915,0
20916,0
20917,1
20918,0
20919,0
20920,1
20921,1
20922,1
20923,1
20924,1
20925,1
20926,1
20927,0
20928,1
20929,1
20930,0
20931,0
20932,1
20933,1
20934,0
20935,0
20936,0
20937,0
20938,1
20939,0
20940,1
20941,1
20942,1
20943,1
20944,0
20945,0
20946,0
20947,1
20948,1
20949,0
20950,1
20951,1
20952,1
20953,0
20954,0
20955,0
20956,1
20957,1
20958,0
20959,1
20960,1
20961,0
20962,1
20963,0
20964,1
20965,1
20966,0
20967,0
20968,1
20969,1
20970,1
20971,0
20972,0
20973,1
20974,1
20975,1
20976,1
20977,1
20978,1
20979,1
20980,0
20981,0
20982,1
20983,0
20984,1
20985,1
20986,1
20987,0
20988,0
20989,0
20990,1
20991,1
20992,0
20993,0
20994,1
20995,1
20996,0
20997,0
20998,0
20999,1
21000,0
21001,0
21002,0
21003,1
21004,0
21005,1
21006,1
21007,0
21008,1
21009,1
21010,0
21011,0
21012,1
21013,0
21014,1
21015,1
21016,0
21017,1
21018,1
21019,1
21020,1
21021,1
21022,1
21023,0
21024,0
21025,1
21026,0
21027,1
21028,0
21029,0
21030,0
21031,0
21032,0
21033,1
21034,0
21035,0
21036,1
21037,1
21038,1
21039,1
21040,1
21041,1
21042,1
21043,1
21044,1
21045,0
21046,1
21047,1
21048,1
21049,0
21050,1
21051,0
21052,0
21053,0
21054,0
21055,1
21056,0
21057,1
21058,1
21059,1
21060,0
21061,1
21062,0
21063,0
21064,0
21065,1
21066,1
21067,0
21068,0
21069,0
21070,1
21071,1
21072,1
21073,0
21074,0
21075,0
21076,1
21077,1
21078,1
21079,0
21080,1
21081,0
21082,1
21083,1
21084,1
21085,0
21086,0
21087,0
21088,1
21089,0
21090,0
21091,0
21092,1
21093,1
21094,1
21095,1
21096,1
21097,1
21098,0
21099,1
21100,1
21101,0
21102,1
21103,1
21104,0
21105,0
21106,0
21107,0
21108,1
21109,1
21110,1
21111,1
21112,0
21113,0
21114,1
21115,1
21116,1
21117,0
21118,0
21119,0
21120,1
21121,1
21122,0
21123,1
21124,0
21125,1
21126,0
21127,1
21128,1
21129,1
21130,1
21131,0
21132,0
21133,1
21134,1
21135,0
21136,0
21137,1
21138,0
21139,1
21140,0
21141,1
21142,0
21143,1
21144,0
21145,0
21146,0
21147,1
21148,1
21149,1
21150,0
21151,0
21152,0
21153,1
21154,1
21155,0
21156,1
21157,0
21158,1
21159,1
21160,0
21161,1
21162,0
21163,0
21164,1
21165,1
21166,1
21167,0
21168,0
21169,0
21170,0
21171,0
21172,0
21173,0
21174,0
21175,1
21176,0
21177,0
21178,1
21179,0
21180,1
21181,1
21182,0
21183,0
21184,1
21185,1
21186,0
21187,1
21188,0
21189,1
21190,0
21191,0
21192,0
21193,0
21194,0
21195,0
21196,1
21197,0
21198,1
21199,0
21200,1
21201,1
21202,0
21203,1
21204,1
21205,1
21206,0
21207,1
21208,1
21209,1
21210,1
21211,0
21212,1
21213,0
21214,1
21215,1
21216,1
21217,0
21218,0
21219,0
21220,0
21221,1
21222,0
21223,1
21224,1
21225,1
21226,1
21227,1
21228,1
21229,0
21230,1
21231,1
21232,1
21233,1
21234,0
21235,1
21236,1
21237,1
21238,1
21239,0
21240,1
21241,0
21242,0
21243,0
21244,1
21245,1
21246,0
21247,0
21248,1
21249,0
21250,1
21251,1
21252,0
21253,1
21254,0
21255,1
21256,1
21257,1
21258,0
21259,1
21260,1
21261,1
21262,1
21263,0
21264,1
21265,0
21266,0
21267,0
21268,1
21269,1
21270,1
21271,0
21272,0
21273,1
21274,0
21275,1
21276,1
21277,1
21278,0
21279,1
21280,0
21281,0
21282,0
21283,0
21284,1
21285,0
21286,0
21287,1
21288,1
21289,0
21290,0
21291,1
21292,1
21293,0
21294,0
21295,1
21296,0
21297,1
21298,1
21299,0
21300,1
21301,1
21302,0
21303,1
21304,0
21305,0
21306,1
21307,1
21308,0
21309,1
21310,1
21311,0
21312,1
21313,1
21314,1
21315,0
21316,0
21317,0
21318,1
21319,0
21320,1
21321,1
21322,0
21323,1
21324,1
21325,1
21326,0
21327,0
21328,0
21329,1
21330,0
21331,0
21332,1
21333,1
21334,1
21335,1
21336,0
21337,1
21338,0
21339,0
21340,0
21341,0
21342,1
21343,1
21344,1
21345,0
21346,0
21347,1
21348,1
21349,1
21350,0
21351,1
21352,0
21353,0
21354,1
21355,1
21356,0
21357,0
21358,1
21359,0
21360,1
21361,0
21362,1
21363,1
21364,1
21365,1
21366,0
21367,0
21368,0
21369,0
21370,1
21371,0
21372,0
21373,0
21374,1
21375,0
21376,1
21377,1
21378,0
21379,1
21380,1
21381,1
21382,0
21383,1
21384,1
21385,0
21386,1
21387,1
21388,0
21389,1
21390,1
21391,1
21392,1
21393,1
21394,1
21395,1
21396,0
21397,1
21398,1
21399,0
21400,1
21401,1
21402,0
21403,1
21404,1
21405,1
21406,0
21407,1
21408,1
21409,0
21410,0
21411,1
21412,0
21413,0
21414,0
21415,1
21416,0
21417,0
21418,0
21419,0
21420,0
21421,0
21422,1
21423,1
21424,0
21425,1
21426,1
21427,1
21428,0
21429,0
21430,1
21431,0
21432,0
21433,0
21434,1
21435,1
21436,0
21437,1
21438,0
21439,0
21440,1
21441,0
21442,0
21443,1
21444,1
21445,1
21446,1
21447,1
21448,1
21449,1
21450,1
21451,0
21452,1
21453,1
21454,1
21455,1
21456,0
21457,0
21458,1
21459,0
21460,1
21461,0
21462,1
21463,1
21464,1
21465,0
21466,0
21467,1
21468,1
21469,1
21470,0
21471,1
21472,1
21473,0
21474,0
21475,1
21476,1
21477,1
